season,player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,dribble_att,dribble_success,carries,prog_carry_dist,prog_carries,carries_final_third,carries_pen_area,targets,receptions,through_balls,pressured_passes,switches,crosses,fouls,fouled,recoveries,aerial_duels
1920,Aaron Connolly,FW,Brighton,Premier League,1258,0.21,0.07,0.29,0.21,0.29,0.23,0.02,0.25,0.23,0.25,2.71,0.93,15.9,1.79,0.36,77.3,17.3,0.43,0.43,0.14,0,0.71,0.86,16.7,0.57,0.36,1.21,0.07,24.9,0.14,1.5,10.6,14.2,4.36,1.14,37.5,16.3,67.6,5.66,1.65,0.43,38.2,16.8,0.07,3.57,0,0.5,1.14,2.71,3.86,4.43
1920,Aaron Cresswell,DF,West Ham,Premier League,2727,0.1,0,0.1,0.1,0.1,0.04,0.06,0.1,0.04,0.1,0.59,0.17,20.1,1.52,0.07,73.8,353.2,0.76,3.76,0.73,0.5,4.06,1.58,11.7,2.11,0.5,2.08,3.04,65,3.56,18.2,31.2,18.5,0.86,1.25,42.1,35.5,76.2,5.67,1.56,0.64,37.6,34.6,0.1,7.99,1.25,2.31,0.53,0.59,9.74,2.8
1920,Aarón Escandell,GK,Granada,La Liga,270,0,0,0,0,0,0,0,0,0,0,0,0,,0.67,0,60.2,668.3,0,2,0,0,0,0,0.33,0,0,0,0,44.3,38,44,0.33,0,0,0,,22.7,95,2.04,0.32,0,15,15,0,1.33,1,0,0,0,12.7,0
1920,Aaron Lennon,MF,Burnley,Premier League,496,0,0,0,0,0,0,0.02,0.02,0,0.02,0.18,0,17.7,1.27,0.18,70.2,63.1,0.36,1.09,0.36,0.18,1.45,2.73,26,1.45,1.45,4.18,1.09,34.4,2.18,7.09,14.4,14.9,1.09,1.45,75,22.7,85.8,2.94,0.59,1.18,28.4,20.9,0,5.82,0.91,1.64,2,1.27,5.45,2
1920,Aaron Leya Iseka,FW,Toulouse,Ligue 1,777,0.23,0,0.23,0.12,0.12,0.56,0.02,0.59,0.39,0.41,2.91,0.93,13.2,2.32,0.12,77.6,29.3,0.47,1.28,0.23,0,1.16,0.58,15.9,0.7,0.23,0.81,0.81,34.9,0.58,1.98,19.4,16,4.53,1.51,53.8,20.8,70.5,3.51,1.04,0.1,46.4,25.5,0,7.21,0.35,0.35,2.33,1.28,3.6,6.75
1920,Aarón Martín,DF,Mainz 05,Bundesliga,1792,0,0,0,0,0,0.01,0.17,0.18,0.01,0.18,0.45,0.15,24.4,2.51,0.15,72.6,240.8,1.56,1.96,0.9,0.6,2.71,1.06,11,1.91,0.7,1.76,2.16,54.3,2.51,14.6,24.6,18.8,0.65,2.01,60,29.7,108.7,2.03,0,0.58,30.7,26.5,0.05,5.73,1.36,2.96,0.9,0.6,8.09,2.11
1920,Aaron Mooy,MF,Brighton,Premier League,2085,0.09,0.09,0.17,0.09,0.17,0.09,0.15,0.23,0.09,0.23,1.42,0.34,19.8,3.02,0.3,76.7,178.5,1.68,3.45,1.34,0.3,4.14,1.85,18.1,2.07,0.78,2.63,1.25,58.6,1.72,8.75,26.9,27.6,1.81,2.2,72.5,41.7,135.9,3.88,1.12,0.05,47.6,40,0.17,9.87,2.03,2.28,0.56,0.47,8.15,1.81
1920,Aaron Ramsdale,GK,Bournemouth,Premier League,3330,0,0.03,0.03,0,0.03,0,0,0,0,0,0,0,,0.08,0,57.7,401.3,0.05,0.54,0,0,0,0,0.22,0.03,0,0,0,33.6,30.3,33.3,0.38,0,0,0,,14.7,48,2.07,0.49,0.57,11.1,11,0.03,2.89,0.89,0,0,0.08,5.35,0
1920,Aaron Ramsey,MF,Juventus,Serie A,1051,0.26,0.09,0.34,0.26,0.34,0.23,0.14,0.37,0.23,0.37,2.31,0.77,17.3,3.77,0.34,87,149.1,1.54,4.87,0.43,0.09,2.99,2.39,19.6,1.79,0.77,3.16,0.6,77.3,1.28,8.97,37.8,34.3,5.21,1.97,69.6,54,121.3,2.43,0.95,0.14,72.6,61.5,0.09,11.1,1.03,1.11,1.88,1.54,7.69,1.88
1920,Aaron Wan-Bissaka,DF,Manchester Utd,Premier League,3070,0,0.12,0.12,0,0.12,0.03,0.08,0.11,0.03,0.11,0.26,0.03,17.3,1.38,0.18,81.2,278.1,0.76,3.11,0.59,0.29,4.19,4.05,17.9,2.96,1.44,5.48,3.17,75.1,3.05,21.7,34.8,22.7,1.35,2.67,64.8,45.4,145.8,4.59,0.91,0,46,42.7,0,8.77,0.47,2.08,0.65,0.56,8.86,1.52
