player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,dribble_att,dribble_success,prog_carry_dist
Patrick van Aanholt,DF,Crystal Palace,Premier League,2507,0.11,0.07,0.18,0.07,0.14,0.08,0.11,0.2,0.06,0.17,0.93,0.18,20.6,2.23,0.18,78.8,332.6,1.15,3.08,0.9,0.18,4.62,1.83,9.57,2.04,0.82,2.65,2.4,65.9,1.29,50,112.2
Max Aarons,DF,Norwich City,Premier League,3240,0,0.03,0.03,0,0.03,0.01,0.09,0.11,0.01,0.11,0.39,0.11,17.8,1.53,0.08,78.1,189.8,0.67,1.19,0.89,0.36,2.14,1.78,13.5,2.78,0.56,2.33,2.39,59.3,2.61,52.1,151.1
Yunis Abdelhamid,DF,Reims,Ligue 1,2520,0.11,0,0.11,0.11,0.11,0.05,0,0.05,0.05,0.05,0.68,0.18,14.2,0.57,0.04,87.7,322.9,0.07,1.61,0.11,0,2.86,2.18,10.7,1.54,0.86,3.04,5.93,66.3,0.93,80.8,153.8
Suleiman Abdullahi,FWMF,Union Berlin,Bundesliga,157,0.57,0,0.57,0.57,0.57,0.72,0.1,0.82,0.72,0.82,3.53,1.76,17.2,1.15,0,45,77.6,0.59,1.18,1.18,0.59,1.76,0.59,14.7,1.76,0.59,1.18,1.18,36.5,2.35,50,104.1
Mehdi Abeid,MF,Nantes,Ligue 1,1817,0.05,0.1,0.15,0.05,0.15,0.08,0.07,0.15,0.08,0.15,1.63,0.35,25,2.28,0.2,83.7,190.6,1.29,4.21,0.3,0.2,2.92,2.97,20.6,0.89,0.84,3.81,1.09,58.2,1.09,54.5,104.8
Charles Abi,FW,Saint-Étienne,Ligue 1,623,0,0,0,0,0,0.03,0.16,0.19,0.03,0.19,0.72,0,14.9,1.73,0.14,56.1,28.8,0.72,0.72,0.29,0,1.16,1.45,26.2,0.14,0.58,2.03,0.72,30.1,3.04,76.2,71.3
David Abraham,DF,Eint Frankfurt,Bundesliga,1688,0.11,0,0.11,0.11,0.11,0.07,0,0.08,0.07,0.08,0.37,0.21,7.7,0.59,0,82.8,323.4,0.11,3.99,0.37,0,5.32,1.6,10.6,1.7,0.85,2.45,4.63,57.1,0.59,81.8,125.1
Tammy Abraham,FW,Chelsea,Premier League,2215,0.61,0.12,0.73,0.61,0.73,0.57,0.1,0.67,0.57,0.67,3.58,1.42,11.1,2.03,0.41,69.9,33,0.73,0.65,0.2,0,1.26,0.57,17.5,0.93,0.2,0.77,1.06,30,1.46,58.3,47.3
Amir Abrashi,MF,Freiburg,Bundesliga,663,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,0.68,0.27,20.2,1.36,0,87.1,138.9,0.54,2.57,0.68,0.41,2.84,3.11,22.2,2.57,1.08,4.19,2.03,59.2,1.35,70,77.3
Francesco Acerbi,DF,Lazio,Serie A,3162,0.06,0.06,0.11,0.06,0.11,0.06,0.05,0.1,0.06,0.1,0.48,0.2,13.4,0.77,0.09,90,356,0.2,3.93,0.4,0.09,3.39,1.48,9.12,1.74,0.8,2.28,4.7,67.4,0.48,88.2,177.5
Che Adams,FW,Southampton,Premier League,1111,0.32,0.16,0.49,0.32,0.49,0.32,0.1,0.42,0.32,0.42,3.01,0.73,15.2,2.03,0.41,69.4,51.3,0.89,0.98,0.24,0,1.54,0.65,18.8,0.81,0.24,0.89,0.81,35.9,2.2,55.6,68.9
Tyler Adams,DFMF,RB Leipzig,Bundesliga,953,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,0.66,0.09,17.1,1.7,0.19,85.1,250.3,0.57,2.83,0.75,0.19,3.58,2.17,18.3,2.08,0.66,2.83,1.51,76.7,1.04,54.5,105.5
Sargis Adamyan,FWMF,Hoffenheim,Bundesliga,746,0.6,0.12,0.72,0.6,0.72,0.49,0.11,0.6,0.49,0.6,2.41,1.2,11.3,2.41,0.48,73.3,51.7,0.84,0.6,0.48,0.24,1.57,1.2,25.2,0.6,0.36,1.57,0.6,37.2,2.89,45.8,100.5
Antonio Adán,GK,Atlético Madrid,La Liga,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,66.7,326.7,0,0,0,0,0,0,0,0,0,0,0,23.3,0,,16.7
Bobby Adekanye,FW,Lazio,Serie A,188,0.48,0,0.48,0.48,0.48,0.82,0.06,0.88,0.82,0.88,2.38,1.9,10.7,2.87,0,89.1,32.4,0.95,0.48,0,0,0.48,1.9,28.6,0,0.95,2.86,0.48,33.3,1.9,100,114.8
Claud Adjapong,DF,Hellas Verona,Serie A,231,0,0,0,0,0,0.22,0,0.22,0.22,0.22,1.15,0.38,13.9,0.39,0,76.3,137.7,0,2.31,0,0,1.92,1.92,19.2,1.92,1.15,3.08,3.46,43.1,1.15,33.3,82.3
Amine Adli,MFFW,Toulouse,Ligue 1,46,0,0,0,0,0,0,0.11,0.11,0,0.11,0,0,,5.87,0,77.8,254,4,8,2,0,8,0,34,0,2,2,0,66,8,75,288
Yacine Adli,MFFW,Bordeaux,Ligue 1,1020,0.26,0.26,0.53,0.26,0.53,0.08,0.18,0.26,0.08,0.26,1.59,0.53,23.1,3.35,0.62,79.2,173.8,1.59,4.42,0.71,0,4.87,2.39,29,0.97,0.8,3.19,0.35,65,3.72,57.1,175.8
Adrián,GK,Liverpool,Premier League,875,0,0,0,0,0,0,0,0,0,0,0,0,,0.21,0,72.3,393.3,0,0.31,0,0,0,0,0.21,0,0,0,0,34.8,0,,36.6
Aritz Aduriz,FW,Athletic Club,La Liga,208,0.43,0,0.43,0.43,0.43,0.58,0,0.58,0.25,0.25,2.61,1.3,11.9,0.87,0,57.9,38.3,0,1.3,0,0,1.3,0.43,6.96,0,0,0.43,1.3,35.7,0.87,100,20
Lumor Agbenyenu,DF,Mallorca,La Liga,1805,0.05,0,0.05,0.05,0.05,0.02,0.1,0.11,0.02,0.11,0.7,0.1,29.9,1.65,0,73.2,306.8,0.8,2.34,1.04,0.6,3.48,1.74,11.2,1.84,0.55,2.29,3.08,58.8,2.24,57.8,131.3
Martin Agirregabiria,DF,Alavés,La Liga,2099,0.04,0.04,0.09,0.04,0.09,0.04,0.04,0.08,0.04,0.08,0.13,0.04,24.3,0.99,0.13,71.2,260.5,0.52,1.55,0.6,0.21,2.58,2.15,10.6,1.67,0.39,2.53,2.92,52.8,1.12,53.8,81.9
Lucien Agoume,MF,Inter,Serie A,68,0,0,0,0,0,0,0.08,0.08,0,0.08,0,0,,2.65,1.32,92.3,251.3,1.25,5,2.5,1.25,6.25,5,18.8,3.75,1.25,6.25,1.25,60,0,,61.3
Kevin Agudelo,MFFW,Fiorentina,Serie A,64,0,0,0,0,0,0.45,0.3,0.75,0.45,0.75,5.71,0,20.4,8.44,1.41,80.6,201.4,2.86,1.43,1.43,0,4.29,4.29,31.4,1.43,0,4.29,0,67.1,2.86,100,238.6
Kevin Agudelo,MFFW,Genoa,Serie A,666,0.14,0.14,0.27,0.14,0.27,0.15,0.16,0.31,0.15,0.31,1.35,0.27,16.7,4.19,0.27,81.4,121.9,1.49,2.7,0.68,0,2.3,3.38,29.3,1.62,0.81,4.19,0.41,54.3,4.46,63.6,221.5
Nayef Aguerd,DF,Dijon,Ligue 1,957,0.09,0,0.09,0.09,0.09,0.06,0,0.06,0.06,0.06,0.47,0.09,18.6,0.28,0.09,85.1,417.2,0,1.98,0,0,1.98,1.32,10,1.98,0.94,2.26,8.3,67.6,0.19,50,102.4
Sergio Agüero,FW,Manchester City,Premier League,1452,0.99,0.19,1.18,0.87,1.05,0.87,0.15,1.02,0.73,0.88,4.53,1.55,12.4,3.16,0.5,77.4,48.8,0.99,0.75,1.24,0,1.99,0.43,13.8,0.93,0.12,0.56,0.19,35.5,2.8,60,87.2
Ruben Aguilar,DF,Monaco,Ligue 1,1072,0,0.17,0.17,0,0.17,0.01,0.12,0.13,0.01,0.13,0.59,0.25,22.7,2.01,0.25,84.2,343.7,1.18,3.28,2.1,1.26,4.29,3.28,17.1,0.92,0.92,4.2,2.1,77.8,2.18,57.7,156.1
Emmanuel Agyemang-Badu,MFFW,Hellas Verona,Serie A,230,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,,1.17,0,87.5,111.9,0.38,1.54,0.38,0,2.31,0.77,11.5,1.54,0.38,1.15,2.31,49.6,0.38,0,102.7
Jean-Eudes Aholou,MF,Saint-Étienne,Ligue 1,630,0.14,0.14,0.29,0.14,0.29,0.12,0.02,0.14,0.12,0.14,1.43,0.57,16.7,1.71,0.14,83.7,118.6,0.43,2.43,0,0,2.71,3,21.1,1.14,1.71,4.71,1.86,58.4,1.86,76.9,104.7
Joseph Aidoo,DF,Celta Vigo,La Liga,2502,0,0.04,0.04,0,0.04,0.03,0.03,0.06,0.03,0.06,0.36,0.04,10.2,0.47,0.07,87.7,241.7,0.07,2.19,0.07,0,2.23,1.44,10.9,1.51,1.19,2.63,5.83,54.6,0.54,73.3,83.3
Ola Aina,DF,Torino,Serie A,2079,0,0.09,0.09,0,0.09,0.02,0.1,0.11,0.02,0.11,0.52,0.09,23.3,1.99,0.3,74.4,277.4,0.91,2.42,0.91,0.48,3.64,2.12,14.2,3.03,1.13,3.25,2.42,63.9,4.07,59.6,182.3
Youssef Aït Bennasser,MF,Bordeaux,Ligue 1,536,0,0.17,0.17,0,0.17,0.01,0.02,0.03,0.01,0.03,0.33,0,31.6,1.34,0.34,86.4,259.2,0.67,4.67,0.5,0,6.33,1.83,27.3,2,0.83,2.67,1.17,78.8,2,50,113
Rayan Aït Nouri,DF,Angers,Ligue 1,1282,0,0.14,0.14,0,0.14,0.01,0.06,0.07,0.01,0.07,0.28,0,17.8,1.54,0.28,78,334.4,0.85,2.46,1.27,0.85,3.45,2.25,15.8,2.25,0.92,3.17,3.59,70.1,2.89,46.3,169.6
Albian Ajeti,MFFW,West Ham,Premier League,139,0,0,0,0,0,0.07,0.03,0.11,0.07,0.11,2,0,14.2,1.29,0,83.3,5.33,1.33,0,0,0,0,0.67,14,0,0.67,1.33,0,22,0,,10.7
Ludovic Ajorque,FW,Strasbourg,Ligue 1,2058,0.35,0.17,0.52,0.31,0.48,0.27,0.13,0.4,0.24,0.37,1.92,0.79,12.7,1.57,0.44,72.9,40.5,0.61,0.61,0.52,0.17,1.18,0.79,12.2,0.48,0.13,0.92,1,33,1.18,51.9,38.2
Manuel Akanji,DF,Dortmund,Bundesliga,2309,0,0.04,0.04,0,0.04,0.03,0.03,0.06,0.03,0.06,0.39,0.08,19.4,0.39,0.12,91.6,466.8,0.12,4.01,0.08,0,3.31,1.71,8.68,1.36,0.7,2.41,3.31,84.1,0.47,66.7,181.6
Marley Aké,FWMF,Marseille,Ligue 1,99,0,0,0,0,0,0.18,0,0.18,0.18,0.18,2.73,0,21.5,3.64,0.91,86.2,61.8,0,0.91,0.91,0,1.82,3.64,13.6,0,1.82,5.45,0,39.1,3.64,75,120.9
Nathan Aké,DF,Bournemouth,Premier League,2503,0.07,0.07,0.14,0.07,0.14,0.09,0.02,0.11,0.09,0.11,0.86,0.25,9.7,0.47,0.07,88.1,252.8,0.14,2.37,0.36,0,2.05,0.9,7.99,2.12,0.97,1.87,6.33,54.2,0.18,100,104.5
Chadrac Akolo,FWMF,Amiens,Ligue 1,544,0.33,0.17,0.5,0.33,0.5,0.17,0.2,0.37,0.17,0.37,1.5,0.67,19.1,2.81,0.66,83.5,135.2,0.83,2.5,0.33,0,4.33,2.83,23.3,1.33,0.83,3.67,0.67,46.8,3.17,57.9,101.2
Kevin Akpoguma,DF,Hoffenheim,Bundesliga,1142,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.16,0,18.7,0.32,0,87.4,288.4,0.08,1.97,0.08,0,2.05,2.13,13.3,2.44,0.87,2.99,5.28,71.5,0.31,75,132.4
David Alaba,DF,Bayern Munich,Bundesliga,2498,0.04,0.04,0.07,0.04,0.07,0.03,0.07,0.1,0.03,0.1,0.65,0.25,25.6,1.37,0.07,90.8,558.8,0.65,10.6,0.86,0.25,7.99,0.97,7.48,1.44,0.4,1.37,2.34,95.8,0.36,60,275.9
Sofiane Alakouch,DF,Nîmes,Ligue 1,1400,0,0,0,0,0,0.04,0.07,0.11,0.04,0.11,0.64,0.26,19.7,1.61,0.19,82,311.4,0.83,3.08,0.83,0.38,4.1,3.14,16,1.47,1.15,4.29,2.24,63.6,2.18,58.8,139
Lucas Alario,FW,Leverkusen,Bundesliga,1174,0.54,0.08,0.61,0.46,0.54,0.54,0.16,0.7,0.48,0.64,3.62,1.38,11.5,2.3,0.23,73.7,28.8,1.15,0.46,0.69,0,1,0.54,14.2,0.69,0.15,0.69,0.38,35.8,1.62,76.2,34.5
Jordi Alba,DF,Barcelona,La Liga,2187,0.08,0.21,0.29,0.08,0.29,0.04,0.14,0.18,0.04,0.18,0.29,0.12,16,1.85,0.21,87.1,391.4,1.15,5.19,1.56,0.74,5.8,1.03,9.51,1.65,1.03,2.06,1.73,95.6,0.78,52.6,136.9
Luis Alberto,MF,Lazio,Serie A,3113,0.17,0.43,0.61,0.14,0.58,0.21,0.31,0.52,0.18,0.5,2.86,0.78,20.5,5.96,0.84,79.2,341.7,3.12,7.37,2.8,0.14,9.28,1.5,19.6,1.24,0.46,1.97,0.46,77,3.03,68.6,310.9
Raúl Albiol,DF,Villarreal,La Liga,3237,0.03,0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,0.39,0.11,10.5,0.44,0.03,86,338.8,0.14,2.67,0.14,0.03,2.17,1.39,7.72,1.11,0.47,1.86,7.06,62.8,0.08,100,124.6
Marc Albrighton,MFDF,Leicester City,Premier League,867,0,0.31,0.31,0,0.31,0.06,0.2,0.27,0.06,0.27,1.04,0.21,20.7,2.7,0.52,67.9,254.6,1.88,3.23,2.08,0.94,5.21,2.4,19.9,1.88,0.94,3.33,0.73,64.8,3.02,34.5,122.8
Paco Alcácer,FW,Villarreal,La Liga,924,0.39,0.1,0.49,0.39,0.49,0.31,0.15,0.46,0.31,0.46,2.43,0.78,16.3,1.56,0.29,78.7,36.1,0.87,0.58,0.58,0,0.87,0.39,14.2,0.97,0.19,0.58,0.87,30.7,0.78,50,40.3
Paco Alcácer,FW,Dortmund,Bundesliga,530,0.85,0.17,1.02,0.85,1.02,0.64,0.17,0.81,0.64,0.81,2.54,1.19,12.1,2.38,0.51,75,31.5,0.85,0.34,0.34,0,1.19,0.34,14.9,0.51,0.34,0.68,0.34,28.3,1.19,57.1,19
Thiago Alcántara,MF,Bayern Munich,Bundesliga,1771,0.15,0,0.15,0.15,0.15,0.13,0.05,0.18,0.13,0.18,0.96,0.41,16.8,2.9,0.41,89.6,445,1.12,9.39,0.91,0.05,10,2.74,14.8,1.07,1.17,3.91,0.96,102.4,3.55,84.3,172.4
Rubén Alcaraz,MF,Valladolid,La Liga,1927,0.09,0.09,0.19,0.09,0.19,0.08,0.04,0.11,0.08,0.11,1.54,0.37,25.7,2.06,0.19,78.5,232.7,0.65,4.44,0.19,0.05,3.36,2.76,20.7,2.66,0.75,3.5,3.18,62.1,1.36,72.4,114.8
Toby Alderweireld,DF,Tottenham,Premier League,2957,0.06,0.06,0.12,0.06,0.12,0.03,0.03,0.07,0.03,0.07,0.49,0.15,11.2,0.64,0.09,82.7,296.8,0.33,3.95,0.49,0.03,2.64,1.34,7.84,2.1,0.33,1.67,6.96,68.8,0.06,0,92.9
Haitam Aleesami,DF,Amiens,Ligue 1,1916,0.05,0.05,0.09,0.05,0.09,0.01,0.06,0.07,0.01,0.07,0.09,0.05,14.7,1.27,0.14,77.8,302.7,0.61,3.15,0.56,0.28,4.6,2.07,17.6,2.58,1.22,3.29,4.6,67.4,1.5,59.4,93.3
Álex Alegría,FW,Mallorca,La Liga,109,0,0,0,0,0,0,0,0,0,0,0,0,,0.83,0,65.7,34.2,0,0.83,0,0,0,0.83,17.5,0.83,0.83,1.67,0,40.8,1.67,50,67.5
